Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000182326	C1S	protein_coding	7.10593918056526e-4	-0.253111969	0.31	0.435	1	68	89	ENSG00000182326
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000172927	MYEOV	protein_coding	7.11238200617168e-4	-2.659802999	0.008	0.056	1	1	4	ENSG00000172927
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000155729	KCTD18	protein_coding	7.145525753661525e-4	-0.14570602	0.074	0.154	1	7	9	ENSG00000155729
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000137959	IFI44L	protein_coding	7.149365636652572e-4	-0.408731303	0.264	0.173	1	60	51	ENSG00000137959
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185904	LINC00839	lncRNA	7.164554617587617e-4	-0.191111962	0.058	0.133	1	5	10	ENSG00000185904
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100567	PSMA3	protein_coding	7.170272822856997e-4	-0.179793148	0.547	0.709	1	86	100	ENSG00000100567
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163312	HELQ	protein_coding	7.199332067746759e-4	-0.463295846	0.116	0.21	1	10	13	ENSG00000163312
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000084092	NOA1	protein_coding	7.200649010867253e-4	-0.26838578	0.198	0.312	1	16	23	ENSG00000084092
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000178053	MLF1	protein_coding	7.211427091397992e-4	0.5770962860072608	0.512	0.466	1	79	47	ENSG00000178053
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000119917	IFIT3	protein_coding	7.212181307263618e-4	0.6731384024256295	0.357	0.29	1	81	42	ENSG00000119917
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000184887	BTBD6	protein_coding	7.233869173495795e-4	-0.227386719	0.163	0.273	1	16	19	ENSG00000184887
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000115355	CCDC88A	protein_coding	7.263754918159422e-4	-0.348935432	0.547	0.689	1	100	132	ENSG00000115355
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000162746	FCRLB	protein_coding	7.267281908128444e-4	-0.792887867	0.074	0.154	1	7	9	ENSG00000162746
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000225697	SLC26A6	protein_coding	7.28109933951834e-4	1.4246061102574066	0.205	0.141	1	19	8	ENSG00000225697
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000161203	AP2M1	protein_coding	7.286868046898708e-4	0.22879832640723108	0.802	0.846	1	223	182	ENSG00000161203
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000188725	SMIM15	protein_coding	7.311377131433973e-4	-0.205446626	0.388	0.536	1	46	53	ENSG00000188725
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000142784	WDTC1	protein_coding	7.312219047289063e-4	0.7402288463802145	0.264	0.188	1	23	12	ENSG00000142784
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000166813	KIF7	protein_coding	7.333963848027685e-4	-1.032105662	0.035	0.099	1	3	6	ENSG00000166813
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100372	SLC25A17	protein_coding	7.355129894821849e-4	-0.248395186	0.264	0.376	1	26	30	ENSG00000100372
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000184602	SNN	protein_coding	7.368081874625007e-4	-0.539373032	0.085	0.171	1	7	10	ENSG00000184602
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000169627	BOLA2B	protein_coding	7.374590577724115e-4	1.2662587546846065	0.163	0.102	1	16	6	ENSG00000169627
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000137168	PPIL1	protein_coding	7.382797970850061e-4	-0.244190397	0.264	0.399	1	25	32	ENSG00000137168
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000079805	DNM2	protein_coding	7.383016437634099e-4	0.8747717923162674	0.411	0.359	1	47	27	ENSG00000079805
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000033100	CHPF2	protein_coding	7.383399347980878e-4	0.9566778685195079	0.364	0.307	1	45	25	ENSG00000033100
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000086189	DIMT1	protein_coding	7.432739036019532e-4	-0.062767377	0.221	0.353	1	20	28	ENSG00000086189
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000130559	CAMSAP1	protein_coding	7.4546555900621e-4	-0.536590242	0.116	0.207	1	10	14	ENSG00000130559
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000086619	ERO1B	protein_coding	7.45518273807856e-4	0.8882313498980188	0.213	0.142	1	19	9	ENSG00000086619
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000108039	XPNPEP1	protein_coding	7.463034255742745e-4	-0.34522255	0.229	0.354	1	22	26	ENSG00000108039
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120727	PAIP2	protein_coding	7.491028995777044e-4	0.4113084869632605	0.64	0.643	1	114	81	ENSG00000120727
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000256262	USP30-AS1	lncRNA	7.506514069962577e-4	1.7307275053664197	0.031	0.009	1	2	1	ENSG00000256262
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100296	THOC5	protein_coding	7.568532638997263e-4	-0.329593059	0.225	0.339	1	21	26	ENSG00000100296
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000173320	STOX2	protein_coding	7.601252421916143e-4	-1.209965012	0.05	0.12	1	5	8	ENSG00000173320
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000119787	ATL2	protein_coding	7.61865238856306e-4	-0.65247611	0.174	0.274	1	15	20	ENSG00000119787
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000196361	ELAVL3	protein_coding	7.624480145308945e-4	2.253663933205787	0.031	0.009	1	3	1	ENSG00000196361
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000134574	DDB2	protein_coding	7.626996594640737e-4	-0.411214318	0.225	0.34	1	23	29	ENSG00000134574
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000111596	CNOT2	protein_coding	7.633566357232344e-4	-0.173215841	0.492	0.651	1	65	74	ENSG00000111596
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000117425	PTCH2	protein_coding	7.642802966812475e-4	1.6833535023122428	0.085	0.042	1	9	3	ENSG00000117425
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000130305	NSUN5	protein_coding	7.653962397141259e-4	0.6213456719389909	0.446	0.393	1	51	32	ENSG00000130305
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000259330	INAFM2	protein_coding	7.684440194699237e-4	1.4332991618713522	0.101	0.052	1	8	3	ENSG00000259330
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000125991	ERGIC3	protein_coding	7.713492639625645e-4	0.19802243421100796	0.926	0.872	1	329	325	ENSG00000125991
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100376	FAM118A	protein_coding	7.765431813741257e-4	-0.671340359	0.186	0.287	1	16	23	ENSG00000100376
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000173744	AGFG1	protein_coding	7.797726538830045e-4	-0.278333047	0.353	0.491	1	40	47	ENSG00000173744
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000140006	WDR89	protein_coding	7.82017227025738e-4	-0.399143841	0.136	0.229	1	11	15	ENSG00000140006
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000242516	LINC00960	lncRNA	7.840838783540972e-4	2.7652812338092554	0.047	0.017	1	4	1	ENSG00000242516
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000116005	PCYOX1	protein_coding	7.863915757675135e-4	-0.210852616	0.434	0.589	1	60	69	ENSG00000116005
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000079150	FKBP7	protein_coding	7.891342278898992e-4	-0.298525144	0.353	0.489	1	41	47	ENSG00000079150
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120992	LYPLA1	protein_coding	7.897315430850492e-4	-0.194970898	0.601	0.74	1	100	118	ENSG00000120992
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000107949	BCCIP	protein_coding	7.901226068336561e-4	0.003211515	0.24	0.376	1	26	29	ENSG00000107949
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000101255	TRIB3	protein_coding	7.933265557774528e-4	-0.292513764	0.24	0.355	1	38	43	ENSG00000101255
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000184787	UBE2G2	protein_coding	8.003974872379435e-4	0.3549798108941009	0.585	0.56	1	82	65	ENSG00000184787
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000234684	SDCBP2-AS1	lncRNA	8.037367580329258e-4	-0.928894194	0.085	0.165	1	7	11	ENSG00000234684
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106263	EIF3B	protein_coding	8.039672590395057e-4	0.2616478421537254	0.717	0.712	1	167	131	ENSG00000106263
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000092203	TOX4	protein_coding	8.057736776620461e-4	-0.300571045	0.422	0.567	1	55	61	ENSG00000092203
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000169860	P2RY1	protein_coding	8.074500458749575e-4	1.3449708212834972	0.085	0.042	1	9	2	ENSG00000169860
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000171130	ATP6V0E2	protein_coding	8.097445623783048e-4	0.6176228779936627	0.45	0.393	1	53	40	ENSG00000171130
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000112667	DNPH1	protein_coding	8.100693968127745e-4	0.5029502612415505	0.694	0.717	1	140	109	ENSG00000112667
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000173559	NABP1	protein_coding	8.102102131483694e-4	0.9118387127823178	0.384	0.334	1	63	32	ENSG00000173559
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000103653	CSK	protein_coding	8.102266682636237e-4	-0.288405101	0.283	0.406	1	26	34	ENSG00000103653
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000114735	HEMK1	protein_coding	8.112787915182907e-4	1.294747217694852	0.256	0.19	1	28	12	ENSG00000114735
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000234779	BNC2-AS1	lncRNA	8.120141244313399e-4	-2.083692744	0.004	0.049	1	0	3	ENSG00000234779
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000114646	CSPG5	protein_coding	8.148379717748273e-4	0.42640394049559216	0.112	0.06	1	13	10	ENSG00000114646
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000145020	AMT	protein_coding	8.158874953612705e-4	-1.97099736	0.008	0.056	1	1	3	ENSG00000145020
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000105325	FZR1	protein_coding	8.173612730890538e-4	1.0071358445612764	0.298	0.226	1	26	16	ENSG00000105325
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000153560	UBP1	protein_coding	8.186090698245421e-4	-0.584609282	0.213	0.322	1	19	23	ENSG00000153560
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000158042	MRPL17	protein_coding	8.199151575151895e-4	-0.098939579	0.465	0.622	1	63	76	ENSG00000158042
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000154473	BUB3	protein_coding	8.202436570934159e-4	-0.332774944	0.349	0.486	1	42	48	ENSG00000154473
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000165801	ARHGEF40	protein_coding	8.234647515674146e-4	0.8647546429241963	0.384	0.33	1	53	27	ENSG00000165801
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000102743	SLC25A15	protein_coding	8.268374375391167e-4	-0.967245807	0.023	0.082	1	2	5	ENSG00000102743
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000125843	AP5S1	protein_coding	8.268733056484721e-4	-0.236591694	0.159	0.26	1	14	18	ENSG00000125843
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000153561	RMND5A	protein_coding	8.271948697087788e-4	-0.445964489	0.167	0.27	1	15	19	ENSG00000153561
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000170166	HOXD4	protein_coding	8.273723860672872e-4	-0.403435709	0.043	0.111	1	3	7	ENSG00000170166
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000141959	PFKL	protein_coding	8.289235088746456e-4	0.5890813865150674	0.612	0.599	1	90	65	ENSG00000141959
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000166479	TMX3	protein_coding	8.334373500709047e-4	-0.456656588	0.256	0.371	1	26	30	ENSG00000166479
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000151640	DPYSL4	protein_coding	8.340655458967566e-4	-0.880780354	0.031	0.093	1	3	6	ENSG00000151640
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000189369	GSPT2	protein_coding	8.345199133409505e-4	-0.39365434	0.128	0.221	1	11	16	ENSG00000189369
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000145214	DGKQ	protein_coding	8.354368390073501e-4	1.4223581508007617	0.116	0.065	1	10	4	ENSG00000145214
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198929	NOS1AP	protein_coding	8.35530428132422e-4	-2.171254022	0.008	0.056	1	1	3	ENSG00000198929
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000174807	CD248	protein_coding	8.361852807554394e-4	-3.146131183	0	0.042	1	0	3	ENSG00000174807
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000268894	PLCE1-AS1	lncRNA	8.361852807554394e-4	-2.725399033	0	0.042	1	0	3	ENSG00000268894
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000102409	BEX4	protein_coding	8.367296806964359e-4	-0.360617148	0.26	0.38	1	30	41	ENSG00000102409
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163374	YY1AP1	protein_coding	8.386733658657834e-4	-0.312258423	0.349	0.486	1	36	42	ENSG00000163374
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000108375	RNF43	protein_coding	8.396477246706349e-4	-0.050923674	0.178	0.296	1	27	22	ENSG00000108375
