Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000179909	ZNF154	protein_coding	6.386025705009323e-12	1.1314145705039458	0.045	0.014	1.4548005158581739e-7	2	1	ENSG00000179909
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000205659	LIN52	protein_coding	6.497313290548154e-12	0.48750772615416826	0.177	0.109	1.480152940719775e-7	11	8	ENSG00000205659
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000182481	KPNA2	protein_coding	6.609986790206759e-12	-0.316026165	0.328	0.404	1.5058210906770018e-7	55	73	ENSG00000182481
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000089060	SLC8B1	protein_coding	6.631862567209686e-12	-1.076288959	0.035	0.085	1.5108046114360385e-7	2	6	ENSG00000089060
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000115216	NRBP1	protein_coding	6.7697539026972095e-12	-0.660306523	0.504	0.543	1.5422176365734514e-7	42	66	ENSG00000115216
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000160007	ARHGAP35	protein_coding	6.784985424554462e-12	-0.779001029	0.369	0.433	1.5456875295677518e-7	27	46	ENSG00000160007
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000119782	FKBP1B	protein_coding	6.858167400851314e-12	-1.882040041	0.044	0.095	1.562359115587938e-7	2	7	ENSG00000119782
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000236778	INTS6-AS1	lncRNA	6.872464651170256e-12	-1.754031119	0.047	0.1	1.565616172183096e-7	2	7	ENSG00000236778
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000108506	INTS2	protein_coding	6.875502879796678e-12	-0.896629167	0.126	0.199	1.5663083110464813e-7	8	15	ENSG00000108506
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000139613	SMARCC2	protein_coding	6.904967759595846e-12	0.2684178001338704	0.539	0.426	1.5730207053135298e-7	51	45	ENSG00000139613
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000169710	FASN	protein_coding	7.002718499353436e-12	-0.673361719	0.464	0.505	1.5952893013377063e-7	46	86	ENSG00000169710
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000132561	MATN2	protein_coding	7.064352199412681e-12	-0.810786499	0.151	0.224	1.609330074548203e-7	16	28	ENSG00000132561
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000288701	PRRC2B	protein_coding	7.0902866670665776e-12	0.33614343560287374	0.705	0.599	1.6152382056244371e-7	106	90	ENSG00000288701
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000135414	GDF11	protein_coding	7.109385591827958e-12	-0.735733727	0.408	0.467	1.6195891316743271e-7	45	68	ENSG00000135414
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000254369	HOXA-AS3	lncRNA	7.160392495983241e-12	2.3571987791084235	0.037	0.01	1.631209014509942e-7	2	1	ENSG00000254369
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000142168	SOD1	protein_coding	7.295470483947702e-12	0.12561510127431386	0.939	0.859	1.6619811309481258e-7	421	431	ENSG00000142168
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000153140	CETN3	protein_coding	7.316934392866594e-12	-1.252550014	0.302	0.367	1.666870824038939e-7	21	33	ENSG00000153140
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000040199	PHLPP2	protein_coding	7.380809207705254e-12	-1.585758992	0.038	0.087	1.6814221456073338e-7	2	6	ENSG00000040199
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000117751	PPP1R8	protein_coding	7.3958946695207e-12	-0.917062282	0.241	0.319	1.6848587646635108e-7	15	26	ENSG00000117751
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000161204	ABCF3	protein_coding	7.495398454219277e-12	0.33313918425963074	0.361	0.27	1.7075267218556935e-7	25	21	ENSG00000161204
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000159714	ZDHHC1	protein_coding	7.528333581661058e-12	0.49330755866584175	0.174	0.108	1.7150296732382057e-7	11	7	ENSG00000159714
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000172428	COPS9	protein_coding	7.609583462149704e-12	0.1585511868021865	0.806	0.713	1.7335392085123238e-7	193	163	ENSG00000172428
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000256235	SMIM3	protein_coding	7.698759770472235e-12	-1.222497185	0.066	0.125	1.7538544633112798e-7	7	13	ENSG00000256235
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163249	CCNYL1	protein_coding	7.7228894862567715e-12	-1.213378135	0.062	0.121	1.7593514538641552e-7	4	9	ENSG00000163249
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000151914	DST	protein_coding	7.761629079536811e-12	-0.291056688	0.87	0.859	1.768176720609281e-7	296	377	ENSG00000151914
